, revenue,Adult,Genre ID,IMDB ID,Movie,Popularity,Release date,original language,run budget,run time,vote average,vote_count,sentiment_score
0,27200000,FALSE,"[18, 36, 10752]",826,The Bridge on the River Kwai,10.156675,10/2/1957,en,3000000,161,7.7,600,0
1,4000000,FALSE,"[18, 28, 53, 80]",12628,Playing God,3.426904,10/17/1997,en,12000000,94,5.5,26,-0.159083333
2,57400547,FALSE,"[28, 12]",9103,The Quest,5.646706,4/19/1996,en,30000000,95,5.3,135,0
3,191125,FALSE,[18],25598,The Indian Runner,1.851309,5/19/1991,en,7000000,127,6.3,24,0.1812
4,80197993,FALSE,"[35, 10751]",9353,Nacho Libre,8.611032,6/16/2006,en,32000000,92,5.6,384,-0.18105
5,19030691,FALSE,"[18, 10749]",20927,Bed of Roses,2.865682,1/26/1996,en,0,87,5.1,27,0.015
6,7644937,FALSE,"[18, 10749]",23830,Last Night,7.527487,5/11/2010,en,7000000,90,6.1,266,0
7,615752,FALSE,"[10749, 18, 12]",18524,The Celestine Prophecy,3.289517,6/1/2006,en,10000000,99,4.8,16,0.087647826
8,30524763,FALSE,"[14, 27, 53]",11428,Sleepwalkers,7.090693,4/10/1992,en,0,91,4.9,105,0.271272727
9,68377859,FALSE,"[35, 10749, 18]",7211,Dan in Real Life,7.7517,10/26/2007,en,25000000,98,6.6,387,0.259178947
10,572000000,FALSE,"[16, 10751, 14]",12092,Alice in Wonderland,13.784223,7/3/1951,en,3000000,75,7,1686,0
11,300135367,FALSE,"[16, 14, 10751, 35]",10137,Stuart Little,8.888607,12/17/1999,en,133000000,84,5.8,1125,-0.187075
12,10442808,FALSE,"[28, 14, 27, 53]",12142,Alone in the Dark,6.64683,1/28/2005,en,20000000,96,3.1,179,-0.017266667
13,126546825,FALSE,"[28, 878]",240832,Lucy,48.800106,7/14/2014,en,40000000,89,6.2,6500,0.176425
14,27362712,FALSE,"[35, 10749]",37964,Brown Sugar,3.033906,10/5/2002,en,8000000,109,7,32,0
15,168167691,FALSE,[18],11321,Seven Pounds,7.81375,12/18/2008,en,55000000,123,7.5,2273,-0.2531
16,95461682,FALSE,"[35, 18, 10749]",13665,Arthur,7.789407,7/17/1981,en,7000000,97,6.5,135,0
17,94679598,FALSE,"[27, 53]",3021,1408,10.572676,7/12/2007,en,25000000,104,6.5,1489,0
18,8176544,FALSE,"[18, 80]",11798,This Is England,3.316388,9/12/2006,en,2380000,101,7.4,396,0
19,5656087,FALSE,"[14, 9648, 53]",24808,Something Wicked This Way Comes,3.73968,4/29/1983,en,19000000,95,6.6,38,0.593766667
20,182300000,FALSE,"[80, 53]",1598,Cape Fear,7.496256,11/15/1991,en,35000000,128,7,751,0.04491
21,572000000,FALSE,"[16, 10751, 14]",12092,Alice in Wonderland,13.784223,7/3/1951,en,3000000,75,7,1686,0
22,706685,FALSE,"[18, 35]",8221,What Have I Done to Deserve This?,3.510825,10/24/1984,es,0,102,7.4,41,0
23,3193102,FALSE,"[28, 80, 18, 9648, 53]",10388,The Limey,6.037814,5/15/1999,en,10000000,89,6.6,115,0.49335
24,70000000,FALSE,"[27, 53]",948,Halloween,11.949158,10/24/1978,en,325000,91,7.4,1192,0.345730769
25,11146270,FALSE,"[35, 10749]",9024,For Love or Money,7.023222,10/1/1993,en,30000000,94,5.8,80,0.9757
