Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue
Brothers of the Head,16429,"[10402, 18]",1.748908,1/1/2005,FALSE,en,7,6.6,93,0,0
Tickets,57251,"[35, 18]",1.59342,3/25/2005,FALSE,it,8,6,109,0,0
Close to Leo,27093,[18],2.048641,5/18/2002,FALSE,fr,12,5.5,90,0,0
The Bridge on the River Kwai,826,"[18, 36, 10752]",10.156675,10/2/1957,FALSE,en,600,7.7,161,3000000,27200000
Dream with the Fishes,47686,[35],2.135729,1/1/1997,FALSE,en,10,7.7,97,0,0
Necromancy,42487,[27],1.626385,9/22/1972,FALSE,en,7,6.1,83,0,0
The Little Kidnappers,109912,"[10770, 80, 18]",1.362667,8/17/1990,FALSE,en,2,5,92,0,0
Strange Cargo,50271,[18],2.082196,3/1/1940,FALSE,en,7,6.2,113,0,0
The Lady and the Duke,2894,"[10752, 18, 36]",2.817873,9/7/2001,FALSE,fr,4,6,129,0,0
Recipe for Murder,192469,[],1.027146,5/4/2002,FALSE,en,0,0,88,0,0
Jawani Diwani: A Youthful Joyride,233296,"[10749, 35]",1.713829,1/7/2006,FALSE,en,6,5.8,111,0,0
Scream of the Demon Lover,173044,[27],1.119892,10/7/1970,FALSE,it,0,0,94,0,0
The Pride of the Clan,82597,"[10749, 18]",1.078527,1/7/1917,FALSE,en,2,9,84,0,0
The Darkling,30450,[27],1.103292,8/14/2000,FALSE,en,2,4,86,0,0
Love's Brother,56276,[10749],1.462663,4/1/2004,FALSE,en,4,6.5,103,0,0
Street of Dreams,419531,[],1.035301,10/7/1988,FALSE,en,1,5,94,0,0
Bizarre,318040,"[18, 10749]",2.635263,2/7/2015,FALSE,en,14,6.1,99,0,0
Grand Theft Parsons,16433,"[80, 35, 18, 12]",2.338142,6/18/2003,FALSE,en,11,6,88,0,0
Write & Wrong,40393,"[18, 35]",1.684071,3/6/2007,FALSE,de,2,4.5,88,0,0
Byron,121293,"[18, 10749, 36]",1.533147,10/22/2005,FALSE,en,2,2.5,147,0,0
Journey of Honor,40789,"[18, 28, 12]",1.024753,4/27/1991,FALSE,de,0,0,0,0,0
Playing God,12628,"[18, 28, 53, 80]",3.426904,10/17/1997,FALSE,en,26,5.5,94,12000000,4000000
Plato's Run,55670,"[28, 12, 53]",1.332606,5/27/1997,FALSE,en,3,6.3,96,0,0
Plan B,44282,"[35, 18, 10749]",2.653203,3/27/2009,FALSE,es,30,7.3,103,0,0
Frank and Cindy,345170,"[35, 18]",1.670629,6/16/2015,FALSE,en,9,5.8,102,0,0
Revenge Quest,228951,[],1.049413,,FALSE,en,1,1,75,0,0
The Little Polar Bear,153970,"[10751, 16, 12]",1.003296,12/8/2004,FALSE,fr,0,0,0,0,0
The Quest,9103,"[28, 12]",5.646706,4/19/1996,FALSE,en,135,5.3,95,30000000,57400547
The Indian Runner,25598,[18],1.851309,5/19/1991,FALSE,en,24,6.3,127,7000000,191125
Darklight,22080,"[28, 18, 14, 878, 53]",2.4431,1/1/2004,FALSE,en,11,4.8,90,0,0
The President's Man: A Line in the Sand,36996,"[53, 18, 28]",2.199344,1/1/2002,FALSE,en,7,3.9,90,0,0
Nacho Libre,9353,"[35, 10751]",8.611032,6/16/2006,FALSE,en,384,5.6,92,32000000,80197993
The Heir Apparent: Largo Winch,14400,"[12, 18, 28, 53]",7.279657,12/17/2008,FALSE,fr,180,6.1,108,25412760,0
Sharpe's Rifles,70133,"[28, 12, 36, 10752]",2.540161,5/5/1993,FALSE,en,29,5.7,102,0,0
Attack Force,10049,"[28, 53]",3.944925,12/5/2006,FALSE,en,26,4.2,94,0,0
Munchies,4365,"[35, 27, 878]",2.161901,3/1/1987,FALSE,en,7,5,87,0,0
The Night Evelyn Came Out of the Grave,42499,"[9648, 27]",1.783527,8/18/1971,FALSE,it,12,6.4,103,0,0
Absolute Beginners,42017,"[14, 18, 10402, 10749]",2.602122,1/1/1986,FALSE,en,16,5.8,108,0,0
Bullfighter,45548,"[12, 14, 28, 35, 37, 53, 80]",1.953114,10/1/2000,FALSE,en,2,3,90,0,0
"Rita, Sue and Bob Too",18125,"[35, 18]",2.883405,5/20/1987,FALSE,en,19,5.9,90,0,0
Bed of Roses,20927,"[18, 10749]",2.865682,1/26/1996,FALSE,en,27,5.1,87,0,19030691
Frownland,23516,"[35, 18]",1.093974,3/9/2007,FALSE,en,1,5,106,0,0
Testing the Limits,161905,"[18, 14]",2.656431,12/31/1997,FALSE,en,8,4.7,100,0,0
Animal,274626,"[53, 27]",4.70481,6/17/2014,FALSE,en,80,4.6,86,0,0
Live Feed,35721,[27],2.084642,9/26/2006,FALSE,en,15,3.3,77,0,0
Tarzan and the Mermaids,70136,"[28, 12, 10749]",2.002166,5/15/1948,FALSE,en,9,5.3,68,0,0
Parineeta,20651,"[18, 10749, 10769]",1.766535,6/10/2005,FALSE,en,15,6.8,131,6250000,0
That Lady in Ermine,52278,"[35, 10749]",1.741266,8/24/1948,FALSE,en,8,6.1,89,0,0
Last Night,23830,"[18, 10749]",7.527487,5/11/2010,FALSE,en,266,6.1,90,7000000,7644937
The ABC's of Sex Education for Trainable Persons,160417,[99],1.112492,12/31/1975,FALSE,en,3,5.7,20,0,0
The Man from Earth,13363,"[878, 18]",7.594559,6/10/2007,FALSE,en,736,7.7,87,0,0
Sarafina!,35936,"[18, 10751, 10769, 10402]",1.936259,9/18/1992,FALSE,en,7,5.6,117,0,0
They All Laughed,31921,"[18, 35, 53, 9648, 10749]",2.769855,1/1/1981,FALSE,en,11,5.5,115,0,0
Dead Babies,42391,[53],1.827381,9/7/2000,FALSE,en,3,4.3,101,0,0
The Celestine Prophecy,18524,"[10749, 18, 12]",3.289517,6/1/2006,FALSE,en,16,4.8,99,10000000,615752
Rain in the Mountains,46355,"[35, 18]",1.039187,1/1/2007,FALSE,en,1,4,91,0,0
Summer Heat,215865,[],1.129237,3/8/2006,FALSE,en,1,5,0,0,0
Proud,37694,[18],1.11488,7/2/2004,FALSE,en,3,5.5,87,0,0
Auggie Rose,113213,"[18, 9648, 53]",1.990536,5/14/2000,FALSE,en,4,6.5,109,0,0
Sleepwalkers,11428,"[14, 27, 53]",7.090693,4/10/1992,FALSE,en,105,4.9,91,0,30524763
Mr. Moto Takes a Vacation,59657,"[28, 80, 18, 9648, 53]",1.615168,7/7/1939,FALSE,en,4,6.1,65,0,0
Dan in Real Life,7211,"[35, 10749, 18]",7.7517,10/26/2007,FALSE,en,387,6.6,98,25000000,68377859
The Nostril Picker,126793,"[35, 27]",1.149576,1/1/1988,FALSE,en,3,5.3,77,0,0
Alice in Wonderland,12092,"[16, 10751, 14]",13.784223,7/3/1951,FALSE,en,1686,7,75,3000000,572000000
Maybe Logic: The Lives and Ideas of Robert Anton Wilson,33672,[99],1.29885,7/23/2003,FALSE,en,4,6,82,0,0
Metallica: Cunning Stunts,40504,[10402],1.449051,12/8/1998,FALSE,en,6,6,130,0,0
Decoy,24623,[28],2.21268,1/1/1995,FALSE,en,2,4,98,4000000,0
Pit Fighter,35631,"[18, 28, 53]",2.402058,7/6/2005,FALSE,en,4,5.3,83,0,0
Reveille with Beverly,100834,"[35, 10402, 10749]",1.514758,2/4/1943,FALSE,en,0,0,78,0,0
Stuart Little,10137,"[16, 14, 10751, 35]",8.888607,12/17/1999,FALSE,en,1125,5.8,84,133000000,300135367
Impulse,14806,"[9648, 53]",2.913005,4/15/2008,FALSE,en,12,5.1,101,2000000,0
The Bubble,15976,"[18, 10749]",3.467256,6/6/2006,FALSE,he,22,7.6,114,0,0
Evil Aliens,10177,"[35, 27, 878]",3.362072,3/10/2006,FALSE,en,43,6,93,500000,0
The Half Naked Truth,97657,"[35, 10749]",1.291399,12/16/1932,FALSE,en,3,6.8,77,0,0
Georgia Rule,13159,"[35, 18, 10749]",6.851257,5/11/2007,FALSE,en,136,5.6,113,20000000,0
Alone in the Dark,12142,"[28, 14, 27, 53]",6.64683,1/28/2005,FALSE,en,179,3.1,96,20000000,10442808
Bullet Boy,32566,"[28, 80, 18, 10769]",1.464457,9/15/2004,FALSE,en,6,5.2,89,0,0
Lucy,240832,"[28, 878]",48.800106,7/14/2014,FALSE,en,6500,6.2,89,40000000,126546825
One Magic Christmas,13380,"[10751, 14]",2.77475,11/22/1985,FALSE,en,16,5.7,88,0,0
The Fallen Ones,41540,"[28, 27, 53]",2.531295,5/14/2005,FALSE,en,11,3.4,89,0,0
Promise Me This,8269,"[10749, 18, 35]",3.601851,5/26/2007,FALSE,sr,18,6.5,127,0,0
Where It's At,102491,[18],1.02087,5/7/1969,FALSE,en,0,0,106,0,0
Within the Rock,133714,"[878, 27]",1.166849,6/8/1996,FALSE,en,2,4.5,88,0,0
Brown Sugar,37964,"[35, 10749]",3.033906,10/5/2002,FALSE,en,32,7,109,8000000,27362712
Hollywood Hotel,43859,"[35, 10402, 10749]",1.094688,12/20/1937,FALSE,en,1,5,109,0,0
Watching the Detectives,22100,"[35, 10749]",3.223554,5/1/2007,FALSE,en,18,6.5,90,2000000,0
The Rogue,225446,[18],1.000489,1/1/1971,FALSE,bs,0,0,91,0,0
Seven Pounds,11321,[18],7.81375,12/18/2008,FALSE,en,2273,7.5,123,55000000,168167691
Lipstick,59809,"[18, 53]",1.247092,4/2/1976,FALSE,en,5,5.1,89,0,0
Midnight Offerings,71377,"[27, 10770]",1.217268,2/27/1981,FALSE,en,5,4.6,100,0,0
Amber's Story,107986,"[18, 80]",1.626721,9/4/2006,FALSE,en,3,5.7,85,0,0
Arthur,13665,"[35, 18, 10749]",7.789407,7/17/1981,FALSE,en,135,6.5,97,7000000,95461682
Much Ado About Nothing,11971,"[18, 35, 10749]",9.472666,5/7/1993,FALSE,en,206,7.2,111,8000000,0
Young Catherine,75522,"[18, 36]",1.422626,1/1/1991,FALSE,en,4,5,186,0,0
The Angry Red Planet,6974,"[12, 878]",2.17473,11/23/1959,FALSE,en,24,5.7,83,0,0
Stella Street,202587,[35],1.108963,1/26/2004,FALSE,en,3,4.7,80,0,0
Munchie Strikes Back,125077,"[14, 10751, 35]",1.619198,8/1/1994,FALSE,en,2,3,0,0,0
The Nada Gang,4790,[53],1.549419,3/21/1974,FALSE,fr,4,6.3,132,0,0
Trick of the Eye,279976,"[18, 10770]",1.116477,10/22/1994,FALSE,en,0,0,95,0,0
"Swing High, Swing Low",105551,"[18, 10749]",1.528732,3/12/1937,FALSE,en,1,5,92,0,0
1408,3021,"[27, 53]",10.572676,7/12/2007,FALSE,en,1489,6.5,104,25000000,94679598
The Screaming Skull,34078,"[53, 27]",1.539437,1/1/1958,FALSE,en,14,4.1,68,0,0
Island Prey,222092,"[18, 10749]",1.706356,6/15/2005,FALSE,en,1,10,93,0,0
This Is England,11798,"[18, 80]",3.316388,9/12/2006,FALSE,en,396,7.4,101,2380000,8176544
The Romance of Astrea and Celadon,45458,"[18, 10749]",2.225781,9/1/2007,FALSE,fr,10,5.3,109,0,0
Even Cowgirls Get the Blues,34444,"[37, 18, 35, 10749]",3.8754,5/13/1994,FALSE,en,32,4.2,96,8000000,0
Water Lilies,10818,"[18, 10749]",5.550105,5/17/2007,FALSE,fr,59,6,85,0,0
The Defender,26125,"[28, 53]",1.965573,12/20/2004,FALSE,en,10,4.9,90,0,0
Something Wicked This Way Comes,24808,"[14, 9648, 53]",3.73968,4/29/1983,FALSE,en,38,6.6,95,19000000,5656087
Revolver,10851,"[18, 53, 80, 9648]",7.529336,9/11/2005,FALSE,en,450,6.3,115,0,0
The Wayward Cloud,36253,"[10402, 35, 18, 10749]",3.711127,5/19/2005,FALSE,zh,20,6.9,114,0,0
Cape Fear,1598,"[80, 53]",7.496256,11/15/1991,FALSE,en,751,7,128,35000000,182300000
The Desert Trail,53624,"[28, 37]",2.205651,4/21/1935,FALSE,en,10,4.3,54,0,0
Jigsaw,298250,"[27, 53]",248.374543,10/20/2017,FALSE,en,386,5.9,92,0,0
Coffy,22021,"[53, 28, 12, 18, 80]",6.828455,6/13/1973,FALSE,en,65,7.2,91,500000,0
Torrente 2: Mission in Marbella,1284,"[35, 80]",3.997514,3/30/2001,FALSE,es,45,6.2,99,0,0
16 Years of Alcohol,29656,"[80, 18]",1.956161,8/14/2003,FALSE,en,9,6.4,102,0,0
Alice in Wonderland,12092,"[16, 10751, 14]",13.784223,7/3/1951,FALSE,en,1686,7,75,3000000,572000000
Wild Texas Wind,234944,"[10770, 18]",1,9/23/1991,FALSE,en,0,0,96,0,0
Against All Hope,272924,[],1.035409,1/1/1982,FALSE,en,1,8,0,0,0
What Have I Done to Deserve This?,8221,"[18, 35]",3.510825,10/24/1984,FALSE,es,41,7.4,102,0,706685
The Limey,10388,"[28, 80, 18, 9648, 53]",6.037814,5/15/1999,FALSE,en,115,6.6,89,10000000,3193102
Beauty Prize,56178,[18],1.140659,1/1/1930,FALSE,fr,2,4,93,0,0
Zulu Dawn,18061,"[12, 18, 36, 10752]",3.835859,5/14/1979,FALSE,en,39,5.7,117,0,0
Last Hurrah for Chivalry,13514,"[28, 18]",2.122767,11/22/1979,FALSE,cn,7,7.4,106,0,0
Return to Boggy Creek,283885,"[18, 10751, 27]",1.408611,7/29/1977,FALSE,en,1,1,85,0,0
Halloween,948,"[27, 53]",11.949158,10/24/1978,FALSE,en,1192,7.4,91,325000,70000000
Seachd: The Inaccessible Pinnacle,105204,[18],1.054971,3/28/2007,FALSE,gd,1,8,100,0,0
For Love or Money,9024,"[35, 10749]",7.023222,10/1/1993,FALSE,en,80,5.8,94,30000000,11146270
The Thing About My Folks,23703,"[10751, 35, 18]",2.790865,1/1/2005,FALSE,en,9,5.4,96,0,0
Brokedown Palace,17707,"[18, 53]",9.536457,8/13/1999,FALSE,en,121,6.3,100,25000000,13000000
The Tenants,26437,"[35, 18, 9648]",2.099335,1/1/2005,FALSE,en,5,5.5,97,0,0
Operation Dames,338013,"[18, 10749, 10752]",1.132794,3/1/1959,FALSE,en,2,3.5,74,0,0
Kiss Them for Me,52367,"[35, 10749, 10752]",1.690614,12/10/1957,FALSE,en,10,4.9,105,0,0
Gunga Din,24965,"[28, 12, 18, 10752]",4.28005,1/24/1939,FALSE,en,42,6.6,117,0,0
Maslin Beach,45032,"[35, 18, 10769, 10749]",1.078132,1/1/1997,FALSE,en,2,3.5,80,0,0
Spaced Invaders,34086,"[35, 10751, 878]",3.173724,4/27/1990,FALSE,en,29,4.7,100,3000000,15369573
A Smile Like Yours,33657,"[35, 10749]",2.08868,8/27/1997,FALSE,en,6,3.2,98,0,0
Rafferty and the Gold Dust Twins,111149,[35],1.304252,2/2/1975,FALSE,en,1,8,91,0,0
Fire Over Afghanistan,72635,"[18, 28, 53]",1.002494,1/1/2003,FALSE,en,0,0,0,0,0
Oxford Blues,30231,"[35, 18]",2.791072,8/24/1984,FALSE,en,14,5,97,0,0
Detroit 9000,85837,"[18, 28, 80]",1.393437,8/1/1973,FALSE,en,10,6,106,0,0
Robot Jox,15618,"[878, 28]",3.498961,10/1/1989,FALSE,en,32,5.3,85,10000000,0
Hold Your Man,90957,"[18, 10749]",1.469467,7/7/1933,FALSE,en,5,2.7,87,260000,0
It Runs in the Family,31459,"[35, 18, 10751]",3.235749,4/25/2003,FALSE,en,8,5.2,109,0,0
Attack of the Super Monsters,37809,[16],1.142338,1/1/1983,FALSE,en,2,6.3,83,0,0
Incoming Freshmen,264703,[35],1.035622,7/31/1979,FALSE,en,1,6,84,0,0
Deep Shock,58816,"[28, 12, 27, 878]",1.515452,9/17/2003,FALSE,en,5,3.9,93,0,0
Malice,2246,"[18, 80]",10.29221,9/29/1993,FALSE,en,113,6,107,0,46405336
Salsa,38909,"[18, 10402, 10749]",2.227635,7/9/1988,FALSE,en,8,4.8,98,0,8892589
The Brink's Job,24429,"[35, 80, 28, 18]",3.904399,12/8/1978,FALSE,en,9,6.4,104,0,0
Castle of Blood,28532,[27],2.370072,2/27/1964,FALSE,en,15,7.3,87,0,0
The Pagemaster,15139,"[14, 878, 10751, 16]",7.198176,11/23/1994,FALSE,en,192,6.2,80,27000000,13670688
The Pacific and Eddy,313077,[],1.004706,8/19/2008,FALSE,en,0,0,0,0,0
Raja Babu,211819,[],1.490357,8/3/1994,FALSE,en,5,5.7,161,0,0
The Death of Klinghoffer,141344,[],1.002699,1/24/2003,FALSE,en,0,0,0,0,0
Gabriel & Me,286369,[18],1.486114,11/1/2001,FALSE,en,1,7,84,0,0
Kalifornia,10909,"[53, 80]",6.426634,9/1/1993,FALSE,en,224,6.5,117,9000000,2395231
An Inconvenient Truth,1781,[99],6.670329,1/24/2006,FALSE,en,275,6.7,100,1000000,46243000
Dalecarlians,12604,"[35, 18]",1.929828,11/25/2004,FALSE,en,11,6.3,98,0,0
The Bedroom Window,39074,"[80, 53, 9648]",5.195135,1/16/1987,FALSE,en,20,6.2,112,0,0
Carlito's Way: Rise to Power,12261,"[28, 12, 18, 53]",3.514267,9/27/2005,FALSE,en,22,4.6,100,9000000,0
Mama's Boy,13167,"[35, 18, 10749]",3.661211,12/14/2007,FALSE,en,27,4.3,93,0,0
Class of Nuke 'Em High,26554,"[27, 35, 878]",4.003697,12/12/1986,FALSE,en,44,5.7,85,2000000,0
The Brain Machine,86939,"[18, 53, 878, 27]",1.205593,1/1/1977,FALSE,en,2,3.3,85,0,0
Higher Learning,16295,"[10749, 18, 80]",4.783932,1/11/1995,FALSE,en,53,6.4,127,0,38290723
Stunt Rock,27805,"[28, 18, 10402]",1.109241,1/1/1978,FALSE,en,3,4.3,86,0,0
Phat Beach,92381,[35],1.724273,8/2/1996,FALSE,en,8,5.4,89,0,0
The Human Tornado,32100,"[28, 35]",2.582124,10/2/1976,FALSE,en,12,5.8,85,0,0
Sky Captain and the World of Tomorrow,5137,"[9648, 28, 53, 878, 12]",5.885554,9/17/2004,FALSE,en,472,5.7,107,70000000,57958696
Time of Her Life,257206,"[27, 9648, 10749]",1.215448,3/3/2006,FALSE,en,6,6,96,100000,750000
East Palace West Palace,44322,[18],1.302834,1/1/1996,FALSE,zh,3,8.3,90,0,0
Seventeen and Missing,220733,"[10770, 9648, 53]",1.612384,2/3/2007,FALSE,en,1,4,90,0,0
A Beautiful Mind,453,"[18, 10749]",12.363865,12/11/2001,FALSE,en,3318,7.7,135,60000000,313542341
Rosenstrasse,6317,"[18, 36]",1.658125,9/18/2003,FALSE,de,10,6.5,136,0,0
