Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue,Na•ve Bayes Polarity Scores
Brothers of the Head,16429,"[10402, 18]",1.748908,1/1/05,FALSE,en,7,6.6,93,0,0,-2.11894E-06
Tickets,57251,"[35, 18]",1.59342,3/25/05,FALSE,it,8,6,109,0,0,-1.92215E-05
Close to Leo,27093,[18],2.048641,5/18/02,FALSE,fr,12,5.5,90,0,0,-1.38387E-07
The Bridge on the River Kwai,826,"[18, 36, 10752]",10.156675,10/2/57,FALSE,en,600,7.7,161,3000000,27200000,-1.1173E-05
Dream with the Fishes,47686,[35],2.135729,1/1/97,FALSE,en,10,7.7,97,0,0,-3.99345E-05
Necromancy,42487,[27],1.626385,9/22/72,FALSE,en,7,6.1,83,0,0,-1.01419E-05
The Little Kidnappers,109912,"[10770, 80, 18]",1.362667,8/17/90,FALSE,en,2,5,92,0,0,-1.99816E-05
Strange Cargo,50271,[18],2.082196,3/1/40,FALSE,en,7,6.2,113,0,0,-3.22687E-06
The Lady and the Duke,2894,"[10752, 18, 36]",2.817873,9/7/01,FALSE,fr,4,6,129,0,0,-9.46878E-06
Recipe for Murder,192469,[],1.027146,5/4/02,FALSE,en,0,0,88,0,0,-1.75152E-05
Jawani Diwani: A Youthful Joyride,233296,"[10749, 35]",1.713829,1/7/06,FALSE,en,6,5.8,111,0,0,-3.39027E-05
Scream of the Demon Lover,173044,[27],1.119892,10/7/70,FALSE,it,0,0,94,0,0,-7.29576E-06
The Pride of the Clan,82597,"[10749, 18]",1.078527,1/7/17,FALSE,en,2,9,84,0,0,1.94492E-05
The Darkling,30450,[27],1.103292,8/14/00,FALSE,en,2,4,86,0,0,-2.11633E-05
Love's Brother,56276,[10749],1.462663,4/1/04,FALSE,en,4,6.5,103,0,0,-2.82615E-05
Street of Dreams,419531,[],1.035301,10/7/88,FALSE,en,1,5,94,0,0,-1.70686E-05
Bizarre,318040,"[18, 10749]",2.635263,2/7/15,FALSE,en,14,6.1,99,0,0,-1.79512E-05
Grand Theft Parsons,16433,"[80, 35, 18, 12]",2.338142,6/18/03,FALSE,en,11,6,88,0,0,-1.53265E-05
Write & Wrong,40393,"[18, 35]",1.684071,3/6/07,FALSE,de,2,4.5,88,0,0,-3.64623E-05
Byron,121293,"[18, 10749, 36]",1.533147,10/22/05,FALSE,en,2,2.5,147,0,0,-1.08549E-05
Journey of Honor,40789,"[18, 28, 12]",1.024753,4/27/91,FALSE,de,0,0,0,0,0,-3.81197E-06
Playing God,12628,"[18, 28, 53, 80]",3.426904,10/17/97,FALSE,en,26,5.5,94,12000000,4000000,-2.06668E-05
Plato's Run,55670,"[28, 12, 53]",1.332606,5/27/97,FALSE,en,3,6.3,96,0,0,1.30996E-05
Plan B,44282,"[35, 18, 10749]",2.653203,3/27/09,FALSE,es,30,7.3,103,0,0,-3.55137E-05
Frank and Cindy,345170,"[35, 18]",1.670629,6/16/15,FALSE,en,9,5.8,102,0,0,-1.36206E-05
Revenge Quest,228951,[],1.049413,,FALSE,en,1,1,75,0,0,-1.43669E-05
