Adult,Genre ID,IMDB ID,Movie,Popularity,Release date,run budget,run time,vote average,vote_count,revenue
FALSE,18,826,The Bridge on the River Kwai,10.156675,10/2/1957,3000000,161,7.7,600,27200000
FALSE,18,12628,Playing God,3.426904,10/17/1997,12000000,94,5.5,26,4000000
FALSE,28,9103,The Quest,5.646706,4/19/1996,30000000,95,5.3,135,57400547
FALSE,18,25598,The Indian Runner,1.851309,5/19/1991,7000000,127,6.3,24,191125
FALSE,35,9353,Nacho Libre,8.611032,6/16/2006,32000000,92,5.6,384,80197993
FALSE,18,20927,Bed of Roses,2.865682,1/26/1996,0,87,5.1,27,19030691
FALSE,18,23830,Last Night,7.527487,5/11/2010,7000000,90,6.1,266,7644937
FALSE,10749,18524,The Celestine Prophecy,3.289517,6/1/2006,10000000,99,4.8,16,615752
FALSE,14,11428,Sleepwalkers,7.090693,4/10/1992,0,91,4.9,105,30524763
FALSE,35,7211,Dan in Real Life,7.7517,10/26/2007,25000000,98,6.6,387,68377859
FALSE,16,12092,Alice in Wonderland,13.784223,7/3/1951,3000000,75,7,1686,572000000
FALSE,16,10137,Stuart Little,8.888607,12/17/1999,133000000,84,5.8,1125,300135367
FALSE,28,12142,Alone in the Dark,6.64683,1/28/2005,20000000,96,3.1,179,10442808
FALSE,28,240832,Lucy,48.800106,7/14/2014,40000000,89,6.2,6500,126546825
FALSE,35,37964,Brown Sugar,3.033906,10/5/2002,8000000,109,7,32,27362712
FALSE,18,11321,Seven Pounds,7.81375,12/18/2008,55000000,123,7.5,2273,168167691
FALSE,35,13665,Arthur,7.789407,7/17/1981,7000000,97,6.5,135,95461682
FALSE,27,3021,1408,10.572676,7/12/2007,25000000,104,6.5,1489,94679598
FALSE,18,11798,This Is England,3.316388,9/12/2006,2380000,101,7.4,396,8176544
FALSE,14,24808,Something Wicked This Way Comes,3.73968,4/29/1983,19000000,95,6.6,38,5656087
FALSE,80,1598,Cape Fear,7.496256,11/15/1991,35000000,128,7,751,182300000
FALSE,16,12092,Alice in Wonderland,13.784223,7/3/1951,3000000,75,7,1686,572000000
FALSE,18,8221,What Have I Done to Deserve This?,3.510825,10/24/1984,0,102,7.4,41,706685
FALSE,28,10388,The Limey,6.037814,5/15/1999,10000000,89,6.6,115,3193102
FALSE,27,948,Halloween,11.949158,10/24/1978,325000,91,7.4,1192,70000000
FALSE,35,9024,For Love or Money,7.023222,10/1/1993,30000000,94,5.8,80,11146270
FALSE,18,17707,Brokedown Palace,9.536457,8/13/1999,25000000,100,6.3,121,13000000
FALSE,35,34086,Spaced Invaders,3.173724,4/27/1990,3000000,100,4.7,29,15369573
FALSE,18,2246,Malice,10.29221,9/29/1993,0,107,6,113,46405336
FALSE,18,38909,Salsa,2.227635,7/9/1988,0,98,4.8,8,8892589
FALSE,14,15139,The Pagemaster,7.198176,11/23/1994,27000000,80,6.2,192,13670688
FALSE,53,10909,Kalifornia,6.426634,9/1/1993,9000000,117,6.5,224,2395231
FALSE,99,1781,An Inconvenient Truth,6.670329,1/24/2006,1000000,100,6.7,275,46243000
FALSE,10749,16295,Higher Learning,4.783932,1/11/1995,0,127,6.4,53,38290723
FALSE,9648,5137,Sky Captain and the World of Tomorrow,5.885554,9/17/2004,70000000,107,5.7,472,57958696
FALSE,27,257206,Time of Her Life,1.215448,3/3/2006,100000,96,6,6,750000
FALSE,18,453,A Beautiful Mind,12.363865,12/11/2001,60000000,135,7.7,3318,313542341
FALSE,35,13698,Gung Ho,5.346699,3/13/1986,0,111,6.2,50,36611610
FALSE,28,4421,G.I. Jane,7.65784,8/22/1997,50000000,125,6,430,48169156
FALSE,28,9509,Man on Fire,9.562333,4/23/2004,70000000,146,7.3,1664,130293714
FALSE,28,45001,Deewana,1.682441,6/25/1992,0,185,7,11,12000000
FALSE,10402,10269,Yentl,4.327411,11/18/1983,12000000,132,6.2,56,30400000
FALSE,35,12572,"New York, I Love You",7.024174,9/6/2008,14700000,103,5.8,183,8049666
FALSE,18,14359,Doubt,7.568715,11/27/2008,20000000,104,7.1,482,50907234
FALSE,28,10863,Eye of the Needle,4.157178,7/24/1981,0,112,6.4,49,18000000
FALSE,18,17917,Oliver!,9.934193,9/26/1968,10000000,153,7,112,37402877
FALSE,18,35119,A Cry in the Dark,3.848367,11/11/1988,15000000,120,6.5,50,6908797
FALSE,10749,16941,Intermission,6.458476,8/29/2003,5000000,105,6.4,52,4856298
FALSE,28,7305,Alive,7.210233,1/15/1993,32000000,120,6.7,412,36733909
FALSE,27,11460,Red Eye,6.991706,8/4/2005,26000000,85,6.2,512,57891803
FALSE,28,6519,The Dukes of Hazzard,11.685344,8/5/2005,50000000,104,5.1,348,110803676
FALSE,878,416149,The Perfect Weapon,5.920854,9/9/2016,8000000,88,3.9,18,17000000
FALSE,28,10711,French Connection II,6.308552,5/18/1975,0,119,6.6,101,12484444
FALSE,53,8848,The Bank Job,7.672312,2/28/2008,20000000,112,6.6,746,64822796
FALSE,28,11951,Vanishing Point,6.67434,1/15/1971,1300000,99,7.2,117,72266306
FALSE,35,9849,My Favorite Martian,5.960053,2/11/1999,65000000,94,5.1,84,36850101
FALSE,18,10264,Hamlet,8.931482,12/19/1990,0,130,6.7,104,20710451
